gene_name,cell_type,ubiquitousness_index,gene_type,organ,sensitivity_human,specificity_human
CD44,Basophils,0.127,protein-coding gene,Immune system,0.0,0.300439
CDH1,Basophils,0.056,protein-coding gene,Immune system,0.0,0.0416667
HTR1B,Basophils,0.002,protein-coding gene,Immune system,0.0,0.0
IGFBP7,Basophils,0.172,protein-coding gene,Immune system,0.0,0.239035
DNASE2B,Basophils,0.001,protein-coding gene,Immune system,0.0,0.00093985
FADS2,Basophils,0.008,protein-coding gene,Immune system,0.0,0.02099
GPC4,Basophils,0.01,protein-coding gene,Immune system,0.0,0.0075188
GRM6,Basophils,0.003,protein-coding gene,Immune system,0.0,0.0
ACSS2,Basophils,0.006,protein-coding gene,Immune system,0.0,0.00595238
ADORA2B,Basophils,0.004,protein-coding gene,Immune system,0.0,0.00438596
AQP9,Basophils,0.003,protein-coding gene,Immune system,0.0,0.00313283
BACE1,Basophils,0.022,protein-coding gene,Immune system,0.0,0.0037594
BMP4,Basophils,0.019,protein-coding gene,Immune system,0.0,0.0241228
CABLES1,Basophils,0.001,protein-coding gene,Immune system,0.0,0.000313283
CCL4,Basophils,0.049,protein-coding gene,Immune system,0.0,0.0557644
CEBPA,Basophils,0.025,protein-coding gene,Immune system,0.0,0.0
E2F8,Basophils,0.002,protein-coding gene,Immune system,0.0,0.0
FADS1,Basophils,0.05,protein-coding gene,Immune system,0.0,0.0770677
FAR2,Basophils,0.004,protein-coding gene,Immune system,0.0,0.0103383
FBXO9,Basophils,0.059,protein-coding gene,Immune system,0.0,0.0388471
GABBR1,Basophils,0.14,protein-coding gene,Immune system,0.0,0.0018797
GPR183,Basophils,0.019,protein-coding gene,Immune system,0.0,0.0488722
HGF,Basophils,0.002,protein-coding gene,Immune system,0.0,0.0075188
HIST1H1D,Basophils,0.006,protein-coding gene,Immune system,0.0,0.0200501
HIST1H2AC,Basophils,0.01,protein-coding gene,Immune system,0.0,0.0316416
IFITM1,Basophils,0.059,protein-coding gene,Immune system,0.0,0.0322682
INF2,Basophils,0.015,protein-coding gene,Immune system,0.0,0.0175439
JAZF1,Basophils,0.002,protein-coding gene,Immune system,0.0,0.0075188
L1CAM,Basophils,0.018,protein-coding gene,Immune system,0.0,0.00156642
LAMA5,Basophils,0.008,protein-coding gene,Immune system,0.0,0.012218
MBOAT1,Basophils,0.006,protein-coding gene,Immune system,0.0,0.0
NFIL3,Basophils,0.014,protein-coding gene,Immune system,0.0,0.00313283
NPL,Basophils,0.017,protein-coding gene,Immune system,0.0,0.018797
OSBPL5,Basophils,0.003,protein-coding gene,Immune system,0.0,0.0
OTUB2,Basophils,0.006,protein-coding gene,Immune system,0.0,0.0140977
P2RY1,Basophils,0.003,protein-coding gene,Immune system,0.0,0.00219298
PDK3,Basophils,0.015,protein-coding gene,Immune system,0.0,0.00595238
PDZD4,Basophils,0.005,protein-coding gene,Immune system,0.0,0.0
PERP,Basophils,0.077,protein-coding gene,Immune system,0.0,0.167607
PIGY,Basophils,0.0,protein-coding gene,Immune system,,
PLEKHG5,Basophils,0.003,protein-coding gene,Immune system,0.0,0.000626566
PLG,Basophils,0.001,protein-coding gene,Immune system,0.0,0.000313283
RNF39,Basophils,0.001,protein-coding gene,Immune system,0.0,0.00219298
SLC26A3,Basophils,0.003,protein-coding gene,Immune system,0.0,0.012218
SLC26A8,Basophils,0.003,protein-coding gene,Immune system,0.0,0.0119048
SNCAIP,Basophils,0.002,protein-coding gene,Immune system,0.0,0.0056391
ST6GALNAC5,Basophils,0.007,protein-coding gene,Immune system,0.0,0.00156642
SUPT3H,Basophils,0.004,protein-coding gene,Immune system,0.0,0.0191103
TULP3,Basophils,0.007,protein-coding gene,Immune system,0.0,0.0119048
TEC,Basophils,0.001,protein-coding gene,Immune system,0.0,0.0
UNC93A,Basophils,0.0,protein-coding gene,Immune system,0.0,0.0
WRN,Basophils,0.004,protein-coding gene,Immune system,0.0,0.00595238
ID1,Basophils,0.149,protein-coding gene,Immune system,0.0,0.209586
IL6,Dendritic cells,0.007,protein-coding gene,Immune system,0.0,0.0141215
CD86,Dendritic cells,0.026,protein-coding gene,Immune system,0.204082,0.00295567
CD83,Dendritic cells,0.045,protein-coding gene,Immune system,0.44898,0.0187192
CD1A,Dendritic cells,0.0,protein-coding gene,Immune system,0.0,0.0
CR2,Dendritic cells,0.001,protein-coding gene,Immune system,0.0,0.000985222
TLR9,Dendritic cells,0.0,protein-coding gene,Immune system,0.0,0.0
CD1C,Dendritic cells,0.001,protein-coding gene,Immune system,0.0952381,0.000656814
CD209,Dendritic cells,0.0,protein-coding gene,Immune system,0.0,0.0
LAMP3,Dendritic cells,0.008,protein-coding gene,Immune system,0.0340136,0.0124795
CD1B,Dendritic cells,0.0,protein-coding gene,Immune system,0.0,0.0
TREM2,Dendritic cells,0.042,protein-coding gene,Immune system,0.0272109,0.00558292
FABP4,Dendritic cells,0.028,protein-coding gene,Immune system,0.0340136,0.0091954
S100A9,Dendritic cells,0.061,protein-coding gene,Immune system,0.517007,0.0834154
ARG1,Dendritic cells,0.007,protein-coding gene,Immune system,0.0,0.00361248
HLA-DRA,Dendritic cells,0.039,protein-coding gene,Immune system,1.0,0.174384
HLA-DQA1,Dendritic cells,0.01,protein-coding gene,Immune system,0.55102,0.0272578
HLA-DMB,Dendritic cells,0.009,protein-coding gene,Immune system,0.482993,0.0229885
HLA-DMA,Dendritic cells,0.022,protein-coding gene,Immune system,0.809524,0.090312
HLA-DQB1,Dendritic cells,0.012,protein-coding gene,Immune system,0.632653,0.0374384
CLEC10A,Dendritic cells,0.01,protein-coding gene,Immune system,0.238095,0.000985222
HLA-DRB1,Dendritic cells,0.033,protein-coding gene,Immune system,0.986395,0.141215
HLA-DPA1,Dendritic cells,0.031,protein-coding gene,Immune system,1.0,0.130706
HLA-DPB1,Dendritic cells,0.032,protein-coding gene,Immune system,1.0,0.137603
DNASE1L3,Dendritic cells,0.015,protein-coding gene,Immune system,0.0952381,0.00591133
CLEC9A,Dendritic cells,0.002,protein-coding gene,Immune system,0.0612245,0.00131363
LILRB2,Dendritic cells,0.002,protein-coding gene,Immune system,0.190476,0.000985222
ETV6,Dendritic cells,0.015,protein-coding gene,Immune system,0.251701,0.0394089
CD163,Dendritic cells,0.005,protein-coding gene,Immune system,0.0952381,0.00295567
CXCR4,Dendritic cells,0.04,protein-coding gene,Immune system,0.455782,0.185878
CXCL8,Dendritic cells,0.02,protein-coding gene,Immune system,0.360544,0.107061
VSIG4,Dendritic cells,0.005,protein-coding gene,Immune system,0.204082,0.00426929
NR4A3,Dendritic cells,0.01,protein-coding gene,Immune system,0.102041,0.00788177
CCR7,Dendritic cells,0.016,protein-coding gene,Immune system,0.0544218,0.0413793
TRAF1,Dendritic cells,0.01,protein-coding gene,Immune system,0.0204082,0.00525452
RELB,Dendritic cells,0.015,protein-coding gene,Immune system,0.0612245,0.0144499
BATF3,Dendritic cells,0.008,protein-coding gene,Immune system,0.0612245,0.00656814
CCL22,Dendritic cells,0.002,protein-coding gene,Immune system,0.00680272,0.000656814
SLAMF7,Dendritic cells,0.013,protein-coding gene,Immune system,0.0204082,0.00689655
XCR1,Dendritic cells,0.001,protein-coding gene,Immune system,0.0136054,0.0
CXCL16,Dendritic cells,0.048,protein-coding gene,Immune system,0.265306,0.0561576
SCIMP,Dendritic cells,0.008,protein-coding gene,Immune system,0.0136054,0.000985222
FCGR2B,Dendritic cells,0.031,protein-coding gene,Immune system,0.0748299,0.00131363
FGD2,Dendritic cells,0.017,protein-coding gene,Immune system,0.176871,0.00361248
RAB7B,Dendritic cells,0.013,protein-coding gene,Immune system,0.0272109,0.000985222
NAAA,Dendritic cells,0.025,protein-coding gene,Immune system,0.217687,0.00426929
HCK,Dendritic cells,0.031,protein-coding gene,Immune system,0.401361,0.0045977
CD180,Dendritic cells,0.012,protein-coding gene,Immune system,0.0,0.000985222
HFE,Dendritic cells,0.017,protein-coding gene,Immune system,0.0,0.000328407
CCR2,Dendritic cells,0.022,protein-coding gene,Immune system,0.0,0.0
RYR1,Dendritic cells,0.002,protein-coding gene,Immune system,0.0,0.00164204
ITGAE,Dendritic cells,0.033,protein-coding gene,Immune system,0.047619,0.132677
SEMA4A,Dendritic cells,0.013,protein-coding gene,Immune system,0.047619,0.00229885
DPP4,Dendritic cells,0.02,protein-coding gene,Immune system,0.0,0.0137931
SLAMF8,Dendritic cells,0.003,protein-coding gene,Immune system,0.0,0.00197044
CXCR3,Dendritic cells,0.005,protein-coding gene,Immune system,0.0,0.00558292
BTLA,Dendritic cells,0.001,protein-coding gene,Immune system,0.0,0.000328407
FLT3,Dendritic cells,0.009,protein-coding gene,Immune system,0.0136054,0.000328407
TLR3,Dendritic cells,0.003,protein-coding gene,Immune system,0.0,0.00755337
ITGAX,Dendritic cells,0.007,protein-coding gene,Immune system,0.183673,0.00821018
GPR132,Dendritic cells,0.009,protein-coding gene,Immune system,0.00680272,0.0
ADAM19,Dendritic cells,0.013,protein-coding gene,Immune system,0.122449,0.0190476
AP1S3,Dendritic cells,0.003,protein-coding gene,Immune system,0.0,0.00361248
ASS1,Dendritic cells,0.048,protein-coding gene,Immune system,0.0,0.0426929
ADGRG5,Dendritic cells,0.0,protein-coding gene,Immune system,0.0,0.000328407
GPR68,Dendritic cells,0.0,protein-coding gene,Immune system,0.0,0.0
KIT,Dendritic cells,0.015,protein-coding gene,Immune system,0.0,0.00262726
KMO,Dendritic cells,0.004,protein-coding gene,Immune system,0.0,0.000328407
P2RY10,Dendritic cells,0.004,protein-coding gene,Immune system,0.0,0.000656814
RAB30,Dendritic cells,0.002,protein-coding gene,Immune system,0.0,0.00394089
SEPT6,Dendritic cells,0.06,protein-coding gene,Immune system,0.190476,0.120854
ZBTB46,Dendritic cells,0.0,protein-coding gene,Immune system,0.0,0.000328407
S100A4,Dendritic cells,0.098,protein-coding gene,Immune system,0.836735,0.348768
CLEC7A,Dendritic cells,0.03,protein-coding gene,Immune system,0.62585,0.0187192
AIF1,Dendritic cells,0.085,protein-coding gene,Immune system,0.884354,0.0945813
LST1,Dendritic cells,0.082,protein-coding gene,Immune system,0.877551,0.0689655
CTSS,Dendritic cells,0.129,protein-coding gene,Immune system,0.911565,0.0968801
IRF8,Dendritic cells,0.069,protein-coding gene,Immune system,0.183673,0.0197044
ADGRE1,Dendritic cells,0.033,protein-coding gene,Immune system,0.00680272,0.000328407
CCL17,Dendritic cells,0.002,protein-coding gene,Immune system,0.0,0.0
CD14,Dendritic cells,0.051,protein-coding gene,Immune system,0.278912,0.0144499
CD207,Dendritic cells,0.001,protein-coding gene,Immune system,0.0,0.0
CD8A,Dendritic cells,0.01,protein-coding gene,Immune system,0.0,0.0167488
CX3CR1,Dendritic cells,0.039,protein-coding gene,Immune system,0.0408163,0.000328407
ITGAM,Dendritic cells,0.025,protein-coding gene,Immune system,0.00680272,0.00295567
LY75,Dendritic cells,0.003,protein-coding gene,Immune system,0.0,0.0
PDCD1LG2,Dendritic cells,0.0,protein-coding gene,Immune system,0.0,0.0
PTPRC,Dendritic cells,0.125,protein-coding gene,Immune system,0.782313,0.188834
SIRPA,Dendritic cells,0.074,protein-coding gene,Immune system,0.0340136,0.00492611
FCGR3A,Dendritic cells,0.006,protein-coding gene,Immune system,0.326531,0.0213465
FTL,Dendritic cells,0.178,protein-coding gene,Immune system,0.993197,0.935961
SERPINA1,Dendritic cells,0.016,protein-coding gene,Immune system,0.44898,0.0676519
AXL,Dendritic cells,0.054,protein-coding gene,Immune system,0.047619,0.0571429
PPP1R14A,Dendritic cells,0.07,protein-coding gene,Immune system,0.0136054,0.0778325
SIGLEC6,Dendritic cells,0.0,protein-coding gene,Immune system,0.0,0.0
CD22,Dendritic cells,0.003,protein-coding gene,Immune system,0.0,0.00328407
DAB2,Dendritic cells,0.068,protein-coding gene,Immune system,0.0748299,0.0466338
S100A8,Dendritic cells,0.064,protein-coding gene,Immune system,0.367347,0.0660098
VCAN,Dendritic cells,0.056,protein-coding gene,Immune system,0.0952381,0.0968801
LYZ,Dendritic cells,0.008,protein-coding gene,Immune system,0.442177,0.0213465
ANXA1,Dendritic cells,0.161,protein-coding gene,Immune system,0.748299,0.341215
FCER1A,Dendritic cells,0.004,protein-coding gene,Immune system,0.204082,0.00952381
C1ORF54,Dendritic cells,0.008,protein-coding gene,Immune system,0.122449,0.0367816
CADM1,Dendritic cells,0.161,protein-coding gene,Immune system,0.047619,0.0738916
CAMK2D,Dendritic cells,0.052,protein-coding gene,Immune system,0.047619,0.0298851
LGALS3,Dendritic cells,0.164,protein-coding gene,Immune system,0.585034,0.295566
NAPSA,Dendritic cells,0.054,protein-coding gene,Immune system,0.00680272,0.00853859
PLBD1,Dendritic cells,0.03,protein-coding gene,Immune system,0.0680272,0.00952381
RNASE6,Dendritic cells,0.024,protein-coding gene,Immune system,0.44898,0.0187192
PLAC8,Dendritic cells,0.14,protein-coding gene,Immune system,0.360544,0.155008
H2AFY,Dendritic cells,0.385,protein-coding gene,Immune system,0.62585,0.28046
SLC11A1,Dendritic cells,0.017,protein-coding gene,Immune system,0.0748299,0.00328407
PDPN,Dendritic cells,0.062,protein-coding gene,Immune system,0.0,0.0246305
S100B,Dendritic cells,0.066,protein-coding gene,Immune system,0.14966,0.0275862
CD28,Dendritic cells,0.011,protein-coding gene,Immune system,0.0,0.00295567
PPL,Dendritic cells,0.004,protein-coding gene,Immune system,0.0,0.00558292
SLURP1,Dendritic cells,0.001,protein-coding gene,Immune system,0.0,0.0
HLA-A,Dendritic cells,0.126,protein-coding gene,Immune system,0.993197,0.679475
HLA-B,Dendritic cells,0.116,protein-coding gene,Immune system,1.0,0.637767
HLA-C,Dendritic cells,0.113,protein-coding gene,Immune system,0.986395,0.607553
HLA-DRB5,Dendritic cells,0.011,protein-coding gene,Immune system,0.387755,0.0469622
SERPINB9,Dendritic cells,0.018,protein-coding gene,Immune system,0.22449,0.0236453
PECAM1,Endothelial cells,0.051,protein-coding gene,Vasculature,0.798077,0.0187824
ICAM1,Endothelial cells,0.009,protein-coding gene,Vasculature,0.0865385,0.00323834
ITGB3,Endothelial cells,0.001,protein-coding gene,Vasculature,0.0,0.000323834
SELE,Endothelial cells,0.001,protein-coding gene,Vasculature,0.105769,0.00194301
VCAM1,Endothelial cells,0.041,protein-coding gene,Vasculature,0.0,0.00744819
MCAM,Endothelial cells,0.031,protein-coding gene,Vasculature,0.278846,0.0126295
PROCR,Endothelial cells,0.016,protein-coding gene,Vasculature,0.240385,0.0213731
TEK,Endothelial cells,0.02,protein-coding gene,Vasculature,0.0480769,0.000323834
FLT4,Endothelial cells,0.007,protein-coding gene,Vasculature,0.0384615,0.000647668
APLN,Endothelial cells,0.015,protein-coding gene,Vasculature,0.25,0.00453368
VWF,Endothelial cells,0.016,protein-coding gene,Vasculature,0.711538,0.00356218
NOS3,Endothelial cells,0.003,protein-coding gene,Vasculature,0.0,0.00744819
THBD,Endothelial cells,0.022,protein-coding gene,Vasculature,0.259615,0.00485751
PLVAP,Endothelial cells,0.026,protein-coding gene,Vasculature,0.394231,0.00485751
ACKR1,Endothelial cells,0.008,protein-coding gene,Vasculature,0.201923,0.00582902
SLCO1C1,Endothelial cells,0.032,protein-coding gene,Vasculature,0.0,0.0
TMEM100,Endothelial cells,0.021,protein-coding gene,Vasculature,0.0288462,0.00291451
ADGRF5,Endothelial cells,0.047,protein-coding gene,Vasculature,0.346154,0.00680052
ABCG2,Endothelial cells,0.038,protein-coding gene,Vasculature,0.0384615,0.00356218
PODXL,Endothelial cells,0.04,protein-coding gene,Vasculature,0.346154,0.0307642
NOSTRIN,Endothelial cells,0.025,protein-coding gene,Vasculature,0.384615,0.011658
MFSD2A,Endothelial cells,0.02,protein-coding gene,Vasculature,0.0288462,0.00777202
ACVRL1,Endothelial cells,0.03,protein-coding gene,Vasculature,0.269231,0.00388601
AQP1,Endothelial cells,0.037,protein-coding gene,Vasculature,0.173077,0.0126295
MYLK,Endothelial cells,0.047,protein-coding gene,Vasculature,0.0576923,0.0553756
RASIP1,Endothelial cells,0.026,protein-coding gene,Vasculature,0.163462,0.000971503
